Master Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3,estimated_weight
15.346057,0.500000,0.636364,0.250909,0.409091,2.318182,1.069091,2.705455,0.716364,0.136364,35.909092,3.352727,13.201000
15.430023,1.114545,4.978182,0.272727,0.444545,11.705454,2.750909,6.432727,1.931818,0.136364,29.443636,0.750000,16.489250
15.455930,1.841818,7.660000,0.705455,0.409091,22.387274,8.454546,6.387273,0.807273,0.148182,18.648182,0.204545,18.604750
15.513833,4.887273,10.500000,5.114546,0.444545,37.932724,14.363637,3.954545,0.761818,0.148182,6.148182,0.148182,23.210999
15.637801,5.181818,9.590909,5.000000,0.444545,43.296364,16.205454,2.454546,0.284545,0.136364,3.522727,0.136364,23.719751
15.696894,4.727273,8.978182,5.840000,17.694546,45.569092,16.478182,1.454546,0.148182,0.136364,3.000000,0.148182,28.647999
15.747306,4.387273,8.841818,6.681818,24.409092,50.818184,19.863638,0.909091,0.136364,0.136364,3.057273,0.148182,32.832001
15.830391,5.363636,11.590909,8.432727,27.717274,53.432724,22.954546,0.636364,0.148182,0.148182,2.943636,0.159091,36.719997
15.863753,7.045455,9.160000,12.887274,32.217274,64.478180,28.818184,1.114545,0.136364,0.136364,2.545455,0.159091,43.641998
15.946637,9.090909,6.636364,17.205456,35.727276,66.136368,30.090910,0.749091,0.125455,0.136364,2.330000,0.148182,46.303497
15.997176,8.181819,2.181818,19.318184,0.444545,48.887272,23.296364,1.478182,0.148182,0.136364,0.863636,0.159091,28.901253
16.056021,3.660000,1.387273,9.069091,0.444545,9.090909,1.590909,3.318182,0.136364,0.148182,0.409091,0.159091,8.088751
16.113278,2.296364,0.250909,0.545455,6.308182,3.454545,0.296364,0.705455,0.148182,0.148182,0.613636,0.148182,4.101750
16.164002,0.272727,0.227273,0.296364,1.363636,0.272727,0.272727,0.272727,0.136364,0.148182,2.136364,0.159091,1.528500
16.247547,0.296364,0.250909,0.250909,2.285455,0.250909,0.296364,0.296364,0.148182,0.136364,2.716364,0.148182,1.946000
16.280639,0.296364,0.227273,0.272727,1.194545,0.272727,0.272727,0.272727,0.148182,0.125455,3.409091,0.159091,1.829000
16.364011,0.296364,0.250909,0.296364,1.295454,0.272727,0.296364,0.250909,0.148182,0.136364,1.863636,0.148182,1.445250
16.414478,0.296364,0.250909,0.272727,1.636364,0.250909,0.296364,0.272727,0.148182,0.136364,3.590909,0.159091,2.010500
16.473137,0.272727,0.227273,0.272727,0.990000,0.272727,0.296364,0.272727,0.136364,0.148182,1.852727,0.148182,1.344750
16.530477,0.296364,0.250909,0.272727,2.626364,0.272727,0.272727,0.250909,0.136364,0.148182,1.818182,0.148182,1.785750
16.581077,0.296364,0.250909,0.272727,2.626364,0.250909,0.272727,0.272727,0.136364,0.136364,1.977273,0.159091,1.829250
16.665104,0.296364,0.250909,0.296364,1.977273,0.250909,0.296364,0.296364,0.136364,0.136364,2.648182,0.148182,1.851750
16.698085,0.296364,0.250909,0.272727,1.262727,0.272727,0.272727,0.296364,0.148182,0.136364,3.022727,0.159091,1.757500
16.780988,0.296364,0.227273,0.250909,1.123636,0.272727,0.272727,0.272727,0.148182,0.148182,1.068182,0.148182,1.163000
16.805550,0.454545,0.250909,0.272727,2.181818,0.250909,0.250909,0.272727,0.136364,0.136364,5.477273,0.148182,2.704000
16.889902,0.296364,0.272727,0.272727,0.444545,0.272727,0.296364,0.272727,0.136364,0.148182,47.057270,0.750000,13.810500
16.948419,0.272727,0.250909,0.250909,0.409091,0.250909,0.272727,0.272727,0.148182,0.148182,79.227280,9.000000,24.888500
17.031260,0.272727,0.272727,0.250909,0.444545,0.523636,0.523636,0.409091,1.648182,0.818182,77.989090,21.181818,28.691998
17.114560,0.296364,0.250909,0.250909,0.409091,2.160000,2.114545,2.750909,3.113636,0.977273,72.522728,25.522728,30.351501
17.198508,2.045455,6.227273,0.727273,0.409091,20.796364,8.432727,14.614546,10.193637,1.284546,24.693636,0.454545,24.716749
17.465137,2.432727,7.069091,0.500000,0.444545,32.523636,10.590909,13.296363,1.920909,0.716364,11.511818,0.250000,22.345499
17.465521,4.863636,18.590910,4.045455,11.454546,51.045456,12.500000,12.296364,0.340909,0.136364,4.136364,0.159091,32.881500
17.615497,6.114545,25.590912,4.932728,13.636364,64.272728,13.136365,11.114546,0.409091,0.136364,3.772727,0.148182,39.397751
17.675289,9.363636,33.114544,9.136364,17.421818,75.090912,15.614545,4.863636,0.148182,0.136364,4.125454,0.159091,46.522999
17.731904,12.478183,36.341820,10.887273,15.308183,75.636360,12.840000,2.160000,0.136364,0.136364,2.840909,0.148182,46.451248
17.782294,11.318182,25.454546,10.590909,15.240000,63.796364,6.023637,4.000000,0.136364,0.136364,2.761818,0.159091,38.394749
17.865667,6.160000,1.114545,7.796363,9.649091,3.614546,0.272727,4.796364,0.136364,0.136364,1.170909,0.159091,9.626749
17.898867,1.272727,0.250909,0.272727,2.795455,0.318182,0.296364,1.114545,0.136364,0.148182,2.659091,0.148182,2.588500
17.982207,0.296364,0.250909,0.250909,0.444545,0.272727,0.296364,0.341818,0.136364,0.148182,2.545455,0.148182,1.411250
18.090239,0.296364,0.250909,0.272727,0.444545,0.272727,0.296364,0.272727,0.136364,0.148182,2.386364,0.148182,1.354500
18.149011,0.296364,0.227273,0.272727,0.444545,0.272727,0.272727,0.272727,0.136364,0.136364,2.693636,0.148182,1.422750
18.216156,0.296364,0.250909,0.272727,0.853636,0.272727,0.296364,0.272727,0.148182,0.136364,2.807273,0.136364,1.579500
18.300020,0.272727,0.250909,0.272727,1.295454,0.272727,0.296364,0.296364,0.136364,0.136364,2.795455,0.159091,1.700750
18.332517,0.296364,0.250909,0.272727,1.808182,0.272727,0.272727,0.272727,0.148182,0.136364,2.590909,0.148182,1.779250
18.333497,0.318182,0.250909,0.272727,1.977273,0.250909,0.272727,0.272727,0.136364,0.125455,2.489091,0.148182,1.791500
18.532883,0.318182,0.250909,0.250909,1.227273,0.250909,0.296364,0.272727,0.136364,0.148182,1.795455,0.136364,1.398000
18.599430,0.296364,0.227273,0.250909,1.944545,0.250909,0.296364,0.250909,0.148182,0.136364,1.931818,0.148182,1.617500
18.632761,0.318182,0.250909,0.272727,2.012727,0.250909,0.296364,0.296364,0.136364,0.136364,2.534546,0.159091,1.832750
18.767435,0.318182,0.250909,0.272727,1.330909,0.272727,0.296364,0.272727,0.136364,0.148182,3.261818,0.159091,1.848000
18.800092,0.296364,0.250909,0.272727,0.444545,0.250909,0.296364,0.296364,0.136364,0.148182,71.068184,0.159091,20.245501
18.883491,0.478182,0.250909,0.250909,0.444545,0.296364,3.387273,3.136364,0.148182,0.136364,64.613640,0.193636,20.167498
18.933991,1.181818,1.818182,0.318182,0.409091,3.250909,15.636364,7.363636,0.136364,0.136364,35.830002,0.148182,18.212999
18.991470,2.227273,4.363636,0.636364,0.409091,10.227273,21.205456,13.954547,0.136364,0.136364,18.590910,0.159091,19.812752
19.049702,4.432727,9.590909,1.409091,0.444545,18.796364,26.614548,17.841818,0.136364,0.148182,8.170909,0.148182,24.126751
19.100268,6.727273,11.023637,1.478182,0.409091,21.727272,32.023636,20.160002,0.148182,0.148182,14.080000,0.148182,29.720247
19.183964,6.272727,10.454546,1.363636,0.444545,18.750910,32.069092,23.363636,0.136364,0.136364,13.489091,0.148182,29.323000
19.216442,5.887273,9.818183,1.000000,0.409091,17.932728,30.523638,22.160002,0.136364,0.148182,4.807273,0.159091,25.570002
19.300075,4.681818,8.887273,0.978182,0.444545,16.181818,27.478184,21.750910,0.136364,0.148182,30.636366,0.148182,30.654749
19.350480,4.590909,9.569092,1.000000,0.444545,17.296364,27.932728,20.590910,0.136364,0.136364,22.431820,0.148182,28.676250
19.408220,4.432727,9.500000,0.841818,0.409091,16.863636,28.887272,21.318182,0.568182,0.148182,28.500000,0.148182,30.694750
19.466786,4.432727,10.069091,1.114545,0.444545,20.160002,31.523638,20.727274,0.136364,0.148182,26.340910,0.159091,31.695499
19.550605,4.569091,10.545455,1.272727,0.409091,21.545454,32.818180,20.863636,0.136364,0.136364,27.545456,0.159091,33.000248
19.633999,4.523636,10.181819,1.227273,0.444545,22.569092,33.636364,19.296364,0.136364,0.284545,24.170908,0.148182,32.070248
19.634537,4.296364,10.045455,1.227273,0.477273,22.181820,33.818184,18.954546,0.136364,0.193636,21.681818,0.148182,31.119251
19.784249,4.978182,9.432727,1.409091,0.409091,18.841818,29.500000,18.614546,0.136364,0.216364,26.216364,0.148182,30.223248
19.817096,4.296364,4.341818,0.818182,25.363640,6.250909,14.341818,12.636364,0.136364,0.568182,20.170910,0.148182,24.495001
19.900410,2.978182,2.160000,0.387273,17.762730,2.978182,7.818182,3.978182,0.136364,0.136364,9.261818,0.148182,13.130000
19.951224,1.409091,0.250909,0.296364,4.704545,0.250909,0.318182,0.296364,0.125455,0.136364,3.477273,0.170909,3.145000
20.067308,0.296364,0.227273,0.296364,2.113636,0.250909,0.272727,0.272727,0.136364,0.136364,1.511818,0.159091,1.560250
20.151250,0.296364,0.250909,0.296364,2.626364,0.272727,0.272727,0.272727,0.136364,0.136364,2.159091,0.159091,1.891750
20.201403,0.318182,0.250909,0.272727,2.217273,0.250909,0.296364,0.272727,0.136364,0.136364,2.818182,0.148182,1.957500
20.234937,0.341818,0.272727,0.272727,2.113636,0.272727,0.272727,0.272727,0.125455,0.136364,2.580000,0.148182,1.872500
20.317671,0.318182,0.250909,0.272727,2.045455,0.296364,0.296364,0.250909,0.136364,0.148182,2.295455,0.148182,1.776250
20.318499,0.318182,0.250909,0.272727,2.149091,0.272727,0.272727,0.296364,0.148182,0.136364,2.420909,0.148182,1.838750
20.369166,0.272727,0.250909,0.272727,2.149091,0.250909,0.296364,0.296364,0.136364,0.136364,2.466364,0.159091,1.839000
20.427053,0.272727,0.250909,0.272727,2.149091,0.272727,0.272727,0.272727,0.125455,0.148182,2.545455,0.148182,1.851000
20.485080,0.296364,0.250909,0.250909,1.909091,0.227273,0.296364,0.272727,0.148182,0.136364,2.659091,0.148182,1.813750
20.535104,0.318182,0.227273,0.272727,2.045455,0.272727,0.296364,0.272727,0.148182,0.136364,3.022727,0.159091,1.972250
20.676251,0.318182,0.250909,0.272727,1.876364,0.227273,0.296364,0.250909,0.136364,0.148182,3.022727,0.148182,1.910750
20.734952,0.296364,0.250909,0.272727,2.285455,0.272727,0.272727,0.272727,0.136364,0.136364,3.125455,0.148182,2.054250
20.785194,0.296364,0.272727,0.272727,2.421818,0.272727,0.272727,0.272727,0.148182,0.136364,3.090909,0.148182,2.091500
20.869247,0.318182,0.250909,0.272727,2.080909,0.250909,0.272727,0.296364,0.136364,0.136364,2.159091,0.148182,1.738750
20.985235,0.318182,0.250909,0.272727,2.080909,0.250909,0.272727,0.250909,0.148182,0.136364,2.909091,0.159091,1.938750
20.985744,0.341818,0.227273,0.272727,2.080909,0.250909,0.296364,0.296364,0.136364,0.136364,2.636364,0.159091,1.879500
21.092206,0.341818,0.250909,0.296364,1.772727,0.272727,0.272727,0.296364,0.136364,0.148182,2.693636,0.159091,1.826250
21.202773,0.387273,0.250909,0.272727,1.568182,0.272727,0.272727,0.296364,0.136364,0.136364,2.772727,0.148182,1.791500
21.318548,0.432727,0.250909,0.296364,1.977273,0.272727,0.296364,0.296364,0.136364,0.148182,2.795455,0.148182,1.939000
21.453060,0.432727,0.250909,0.272727,2.285455,0.272727,0.272727,0.272727,0.148182,0.136364,2.489091,0.148182,1.920000
21.510212,0.341818,0.250909,0.272727,2.149091,0.272727,0.272727,0.296364,0.136364,0.136364,2.489091,0.159091,1.863750
21.569669,0.387273,0.250909,0.272727,2.181818,0.272727,0.272727,0.296364,0.148182,0.148182,2.511818,0.159091,1.898000
21.619817,0.341818,0.227273,0.272727,2.318182,0.272727,0.272727,0.296364,0.148182,0.136364,2.466364,0.148182,1.897750
21.703553,0.318182,0.250909,0.272727,2.522727,0.296364,0.272727,0.272727,0.136364,0.136364,2.500000,0.148182,1.960000
21.736554,0.318182,0.227273,0.272727,2.454545,0.272727,0.272727,0.272727,0.148182,0.136364,2.511818,0.148182,1.934750
21.819430,0.318182,0.250909,0.272727,2.353637,0.250909,0.296364,0.272727,0.136364,0.136364,2.272727,0.148182,1.845000
21.886727,0.296364,0.227273,0.272727,1.772727,0.272727,0.296364,0.272727,0.136364,0.125455,2.330000,0.148182,1.691500
21.943617,0.296364,0.250909,0.272727,2.012727,0.272727,0.296364,0.272727,0.148182,0.136364,2.352727,0.159091,1.779500
22.019386,0.318182,0.227273,0.250909,2.217273,0.272727,0.296364,0.272727,0.148182,0.136364,2.693636,0.148182,1.920000
